date,conflict_count,fatalities
2010-01-15,269,49
2010-02-15,268,60
2010-03-15,261,52
2010-04-15,175,39
2010-05-15,102,33
2010-06-15,146,24
2010-07-15,268,60
2010-08-15,265,62
2010-09-15,163,49
2010-10-15,207,71
2010-11-15,301,61
2010-12-15,188,52
2011-01-15,159,66
2011-02-15,161,36
2011-03-15,164,33
2011-04-15,166,45
2011-05-15,146,43
2011-06-15,283,52
2011-07-15,277,54
2011-08-15,179,38
2011-09-15,228,48
2011-10-15,186,43
2011-11-15,185,57
2011-12-15,185,58
2012-01-15,241,51
2012-02-15,199,36
2012-03-15,176,49
2012-04-15,205,37
2012-05-15,173,52
2012-06-15,157,26
2012-07-15,137,50
2012-08-15,109,61
2012-09-15,109,31
2012-10-15,83,30
2012-11-15,145,24
2012-12-15,113,24
2013-01-15,190,44
2013-02-15,241,81
2013-03-15,308,117
2013-04-15,241,48
2013-05-15,154,60
2013-06-15,115,23
2013-07-15,196,48
2013-08-15,163,51
2013-09-15,181,27
2013-10-15,328,84
2013-11-15,303,70
2013-12-15,320,160
2014-01-15,205,101
2014-02-15,104,25
2014-03-15,93,23
2014-04-15,96,38
2014-05-15,72,35
2014-06-15,53,27
2014-07-15,72,32
2014-08-15,71,35
2014-09-15,81,16
2014-10-15,82,21
2014-11-15,99,23
2014-12-15,95,15
2015-01-15,587,104
2015-02-15,411,111
2015-03-15,197,35
2015-04-15,86,26
2015-05-15,63,17
2015-06-15,74,25
2015-07-15,51,27
2015-08-15,83,42
2015-09-15,77,23
2015-10-15,63,32
2015-11-15,79,24
2015-12-15,144,36
2016-01-15,60,16
2016-02-15,50,12
2016-03-15,110,43
2016-04-15,105,44
2016-05-15,103,50
2016-06-15,87,46
2016-07-15,43,80
2016-08-15,84,25
2016-09-15,31,19
2016-10-15,44,55
2016-11-15,60,16
2016-12-15,46,14
2017-01-15,61,17
2017-02-15,62,25
2017-03-15,81,67
2017-04-15,38,13
2017-05-15,56,40
2017-06-15,28,15
2017-07-15,38,7
2017-08-15,24,9
2017-09-15,18,7
2017-10-15,33,3
2017-11-15,106,16
2017-12-15,27,9
2018-01-15,39,10
2018-02-15,33,4
2018-03-15,40,8
2018-04-15,40,4
2018-05-15,32,13
2018-06-15,22,11
2018-07-15,58,9
2018-08-15,135,27
2018-09-15,135,27
2018-10-15,172,39
2018-11-15,118,32
2018-12-15,382,58
2019-01-15,172,40
2019-02-15,107,40
2019-03-15,175,45
2019-04-15,164,35
2019-05-15,156,29
2019-06-15,120,35
2019-07-15,138,30
2019-08-15,110,35
2019-09-15,180,27
2019-10-15,129,18
2019-11-15,140,29
2019-12-15,126,20
2020-01-15,126,27
2020-02-15,121,26
2020-03-15,92,25
2020-04-15,125,19
2020-05-15,105,21
2020-06-15,107,31
2020-07-15,94,25
2020-08-15,84,21
2020-09-15,128,23
2020-10-15,208,26
2020-11-15,143,15
